-DOCSTART- -X- -X- -X-
   
Something O O O
seems O O O
to O O O
be O O O
going O O O
wrong O O O
at O O O
Bluebird B-EST B-EST O
London I-EST I-EST O
, O O O
the O O O
busily O O O
programmed O O O
10,500-square-foot O O O
restaurant O O O
that O O O
the O O O
mall O O O
in O O O
the O O O
Time B-LOC B-LOC O
Warner I-LOC I-LOC O
Center I-LOC I-LOC O
imported O O O
from O O O
England B-LOC B-LOC O
in O O O
September. O O O
Maybe O O O
the O O O
people O O O
in O O O
charge O O O
have O O O
been O O O
taking O O O
management O O O
cues O O O
from O O O
Prime O O O
Minister O O O
Theresa O O O
May's O O O
government, O O O
which O O O
has O O O
approached O O O
its O O O
Brexit O O O
plan O O O
like O O O
a O O O
class O O O
of O O O
first O O O
graders O O O
trying O O O
to O O O
build O O O
a O O O
working O O O
jet O O O
airplane O O O
out O O O
of O O O
Lego O O O
pieces O O O
and O O O
a O O O
flying-squirrel O O O
sock O O O
puppet. O O O
Or O O O
maybe O O O
the O O O
mess O O O
back O O O
home O O O
has O O O
just O O O
sapped O O O
the O O O
restaurant's O O O
spirit. O O O
Whatever O O O
the O O O
cause, O O O
what O O O
was O O O
meant O O O
to O O O
be O O O
a O O O
cheerful O O O
gift O O O
from O O O
London B-LOC B-LOC O
has O O O
turned O O O
into O O O
the O O O
Bluebird B-EST B-EST O
of O O O
Unhappiness. O O O
Sir O O O
Terence O O O
Conran O O O
opened O O O
the O O O
original O O O
Bluebird B-EST B-EST O
in O O O
1997 O O O
inside O O O
an O O O
Art O O O
Deco O O O
garage O O O
built O O O
on O O O
King's B-LOC B-LOC O
Road I-LOC I-LOC O
in O O O
Chelsea B-LOC B-LOC O
for O O O
the O O O
Bluebird O O O
Motor O O O
Company. O O O
It O O O
was O O O
one O O O
of O O O
his O O O
"gastrodomes," B-TYPE B-TYPE O
those O O O
soaring O O O
complexes O O O
like O O O
Quaglino's B-EST B-EST O
and O O O
Bibendum B-EST B-EST O
that O O O
embedded O O O
restaurants O O O
within O O O
a O O O
busy O O O
hive O O O
of O O O
shops, O O O
cafes B-TYPE B-TYPE O
and O O O
bars. B-TYPE B-TYPE O
The O O O
gastrodomes' B-TYPE B-TYPE O
designs O O O
were O O O
talked O O O
about O O O
more O O O
often O O O
and O O O
more O O O
enthusiastically O O O
than O O O
their O O O
menus, O O O
which O O O
aimed O O O
for O O O
unthreatening O O O
familiarity. O O O
The O O O
current O O O
owners, O O O
D O O O
& O O O
D O O O
London O O O
, O O O
have O O O
managed O O O
to O O O
keep O O O
the O O O
London B-LOC B-EST O
Bluebird B-EST I-EST O
in O O O
circulation O O O
by O O O
changing O O O
upholstery O O O
and O O O
chefs, O O O
but O O O
it O O O
is O O O
not O O O
at O O O
all O O O
clear O O O
why O O O
they O O O
or O O O
the O O O
Time B-LOC O O
Warner I-LOC O O
Center I-LOC O O
believed O O O
that O O O
a O O O
Bluebird B-EST B-EST O
clone O O O
would O O O
play O O O
in O O O
Manhattan B-LOC B-LOC O
in O O O
2018. O O O
True, O O O
the O O O
retail O O O
shop O O O
has O O O
been O O O
dropped. O O O
But O O O
up O O O
front, O O O
next O O O
to O O O
the O O O
desk O O O
where O O O
the O O O
hosts O O O
have O O O
mastered O O O
the O O O
art O O O
of O O O
checking O O O
reservations O O O
without O O O
making O O O
eye O O O
contact, O O O
is O O O
a O O O
cafe-slash-wine B-TYPE B-TYPE O
bar. I-TYPE I-TYPE O
A O O O
glass O O O
case O O O
there O O O
serves O O O
as O O O
a O O O
temporary O O O
prison O O O
for O O O
aging O O O
pastries B-FOOD B-FOOD O
and O O O
tragic O O O
snacks. O O O
Beyond O O O
is O O O
a O O O
lounge O O O
followed O O O
by O O O
a O O O
bar, O O O
the O O O
centerpiece O O O
of O O O
which O O O
is O O O
an O O O
enormous O O O
plexiglass O O O
sculpture O O O
of O O O
a O O O
ponytailed O O O
woman's O O O
head O O O
that O O O
doubles O O O
as O O O
a O O O
shelf O O O
for O O O
weird O O O
liqueurs. B-FOOD B-FOOD O
Just O O O
before O O O
the O O O
ramp O O O
that O O O
descends O O O
to O O O
the O O O
main O O O
dining O O O
room O O O
is O O O
a O O O
console O O O
with O O O
two O O O
turntables O O O
which, O O O
a O O O
note O O O
on O O O
the O O O
website O O O
says O O O
menacingly, O O O
are O O O
operated O O O
on O O O
weekends O O O
by O O O
"live O O O
DJs." O O O
At O O O
other O O O
times, O O O
the O O O
restaurant O O O
stages O O O
such O O O
events O O O
as O O O
a O O O
workshop O O O
in O O O
the O O O
art O O O
of O O O
making O O O
"a O O O
seriously O O O
chic O O O
wreath." O O O
The O O O
poster-size O O O
menus O O O
drawn O O O
up O O O
by O O O
Nicolas O O O
Houlbert, O O O
the O O O
chef, O O O
cram O O O
so O O O
much O O O
copy O O O
onto O O O
a O O O
single O O O
page, O O O
and O O O
are O O O
organized O O O
so O O O
randomly, O O O
that O O O
they O O O
are O O O
best O O O
approached O O O
as O O O
if O O O
you O O O
were O O O
doing O O O
a O O O
word O O O
search, O O O
by O O O
unfocusing O O O
the O O O
eyes O O O
and O O O
waiting O O O
until O O O
the O O O
letters O O O
organize O O O
themselves O O O
into O O O
recognizable O O O
patterns. O O O
Look, O O O
here's O O O
butternut B-DISH B-FOOD O
squash I-DISH I-FOOD O
soup. I-DISH I-FOOD O
This O O O
must O O O
be O O O
fluke O B-FOOD O
-- O O O
no, O O O
fluke B-DISH B-FOOD O
crudo. I-DISH I-FOOD O
Long B-LOC B-FOOD O
Island. I-LOC I-FOOD O
Burrata. B-FOOD B-FOOD O
Long B-DISH B-FOOD O
Island I-DISH I-FOOD O
burrata? I-DISH I-FOOD O
When O O O
you O O O
have O O O
finished O O O
the O O O
puzzle, O O O
please O O O
savor O O O
the O O O
warm O O O
feeling O O O
of O O O
accomplishment O O O
for O O O
a O O O
moment, O O O
because O O O
it O O O
goes O O O
away O O O
once O O O
the O O O
food O O O
arrives. O O O
The O O O
"crispy B-DISH B-DISH O
shrimp" I-DISH I-DISH O
have O O O
the O O O
limp, O O O
expired O O O
quality O O O
of O O O
tempura B-FOOD B-FOOD O
that's O O O
been O O O
doing O O O
laps O O O
all O O O
night O O O
at O O O
a O O O
conveyor-belt B-DIET B-TYPE O
sushi I-DIET I-TYPE O
place. I-DIET I-TYPE O
Yellowfin B-DISH B-FOOD O
tuna I-DISH I-FOOD O
poke I-DISH I-FOOD O
has O O O
been O O O
tossed O O O
onto O O O
a O O O
big, O O O
damp O O O
heap O O O
of O O O
unseasoned O O O
quinoa, B-FOOD B-FOOD O
which O O O
must O O O
be O O O
there O O O
to O O O
soak O O O
up O O O
any O O O
seasoning B-FOOD O O
that O O O
accidentally O O O
attaches O O O
itself O O O
to O O O
the O O O
fish. B-FOOD B-FOOD O
At O O O
lunch O O O
there O O O
is O O O
a O O O
lobster B-DISH B-DISH O
Cobb I-DISH I-DISH O
salad I-DISH I-DISH O
with O O O
lettuce B-FOOD B-FOOD O
and O O O
round, O O O
red O O O
objects O O O
that O O O
are O O O
probably O O O
supposed O O O
to O O O
be O O O
tomatoes. B-FOOD B-FOOD O
Because O O O
you O O O
are O O O
in O O O
an O O O
English B-CUISINE B-CUISINE O
restaurant, O O O
you O O O
will O O O
be O O O
curious O O O
about O O O
the O O O
English B-CUISINE B-CUISINE O
food. O O O
Because O O O
you O O O
are O O O
in O O O
Bluebird B-EST B-EST O
London, I-EST I-EST O
you O O O
will O O O
regret O O O
this. O O O
A O O O
prawn B-DISH B-DISH O
and I-DISH I-DISH O
monkfish I-DISH I-DISH O
curry I-DISH I-DISH O
is O O O
presented O O O
on O O O
a O O O
thali O B-FOOD O
with O O O
mango B-FOOD B-FOOD O
chutney, I-FOOD I-FOOD O
basmati B-FOOD B-FOOD O
rice I-FOOD I-FOOD O
and O O O
paratha, B-FOOD B-FOOD O
which O O O
run O O O
the O O O
gamut O O O
from O O O
unnecessarily O O O
sweet O O O
to O O O
ridiculously O O O
sweet. O O O
The O O O
fish B-FOOD B-FOOD O
half O O O
of O O O
fish B-DISH B-DISH O
and I-DISH I-DISH O
chips I-DISH I-DISH O
is O O O
golden O O O
and O O O
crisp O O O
on O O O
the O O O
ends O O O
but O O O
pale O O O
and O O O
soggy O O O
in O O O
the O O O
middle. O O O
At O O O
least O O O
the O O O
minted B-FOOD B-FOOD O
peas I-FOOD I-FOOD O
that O O O
come O O O
with O O O
it O O O
are O O O
crunchy. O O O
This O O O
is O O O
more O O O
than O O O
can O O O
be O O O
said O O O
for O O O
the O O O
potato B-FOOD B-FOOD O
chips I-FOOD I-FOOD O
that O O O
come O O O
with O O O
an O O O
order O O O
of O O O
beef B-DISH B-DISH O
tartare. I-DISH I-DISH O
They O O O
are O O O
pale, O O O
cobweb-colored, O O O
not O O O
fresh, O O O
and O O O
undercooked O O O
so O O O
they O O O
sag O O O
and O O O
fall O O O
apart O O O
beneath O O O
any O O O
amount O O O
of O O O
beef. B-FOOD B-FOOD O
The O O O
tartare, B-FOOD B-FOOD O
by O O O
the O O O
way, O O O
is O O O
seasoned O O O
with O O O
ketchup, B-FOOD B-FOOD O
which O O O
is O O O
not O O O
as O O O
wrong O O O
as O O O
you O O O
might O O O
think. O O O
If O O O
something O O O
comes O O O
with O O O
a O O O
pastry B-FOOD B-FOOD O
crust, I-FOOD I-FOOD O
exercise O O O
caution. O O O
On O O O
top O O O
of O O O
an O O O
allegedly O O O
Cornish B-CUISINE B-DISH O
chicken B-DISH I-DISH O
pie, I-DISH I-DISH O
sealing O O O
in O O O
dry O O O
chicken B-FOOD B-FOOD O
and O O O
mushrooms B-FOOD B-FOOD O
coated O O O
in O O O
grease O O O
that O O O
is O O O
trying O O O
its O O O
best O O O
to O O O
be O O O
mistaken O O O
for O O O
sauce, B-FOOD B-FOOD O
is O O O
a O O O
dome O O O
of O O O
puff B-FOOD B-FOOD O
pastry; I-FOOD I-FOOD O
it O O O
doesn't O O O
taste O O O
like O O O
butter B-FOOD B-FOOD O
or O O O
salt, B-FOOD B-FOOD O
but O O O
it O O O
is O O O
cooked. O O O
The O O O
thicker O O O
crust B-FOOD O O
around O O O
a O O O
farmhouse B-DISH B-DISH O
pork I-DISH I-DISH O
terrine, I-DISH I-DISH O
served O O O
with O O O
a O O O
chill O O O
that O O O
brought O O O
out O O O
its O O O
Spammy O B-FOOD O
qualities, O O O
is O O O
on O O O
its O O O
way O O O
to O O O
being O O O
cooked. O O O
The O O O
very, O O O
very O O O
thick O O O
football O O O
of O O O
crust B-FOOD B-FOOD O
encasing O O O
beef B-DISH B-DISH O
Wellington I-DISH I-DISH O
is O O O
cooked O O O
only O O O
on O O O
the O O O
surface; O O O
deep O O O
inside, O O O
where O O O
it O O O
meets O O O
the O O O
tenderloin, B-FOOD B-FOOD O
is O O O
a O O O
mass O O O
of O O O
wet, O O O
gluey O O O
dough. B-FOOD B-FOOD O
This O O O
costs O O O
$95 O O O
and O O O
will O O O
serve O O O
two O O O
people, O O O
both O O O
of O O O
whom O O O
had O O O
better O O O
like O O O
the O O O
taste O O O
of O O O
raw B-FOOD O O
flour. I-FOOD B-FOOD O
All O O O
is O O O
not O O O
doom O O O
and O O O
gloom O O O
in O O O
the O O O
pastry O B-FOOD O
department, O O O
though. O O O
The O O O
pull-apart B-DISH B-DISH O
cheese I-DISH I-DISH O
straws I-DISH I-DISH O
are O O O
thick, O O O
puffy O O O
and O O O
warm, O O O
bronzed O O O
on O O O
top O O O
with O O O
